offense,year,Latitude,Longitude
ADW,2014,38.9216003,-77.0423965
ADW,2014,38.9646988,-77.0074005
ADW,2014,38.8296013,-76.9944
ADW,2014,38.8681984,-76.9798965
ADW,2014,38.894001,-76.9781036
ADW,2014,38.8810005,-76.9264984
ADW,2014,38.8997002,-76.9439011
ADW,2014,38.8641014,-76.9553986
ADW,2014,38.9277,-77.0285034
ADW,2014,38.9295998,-77.0314026
ADW,2014,38.8879013,-76.9289017
ADW,2014,38.8785019,-76.9290009
ADW,2014,38.9500999,-77.0140991
ADW,2014,38.831501,-76.9881973
ADW,2014,38.8869019,-76.9268036
ADW,2014,38.8216019,-77.0111008
ADW,2014,38.8251991,-77.0102005
ADW,2014,38.9490013,-77.0261993
ADW,2014,38.8964996,-76.9150009
ADW,2014,38.9431992,-77.075798
ADW,2014,38.9049988,-77.0709
ADW,2014,38.9042015,-77.0121994
ADW,2014,38.9360008,-77.0242996
ADW,2014,38.9239998,-77.0019989
ADW,2014,38.8841019,-76.9761963
ADW,2014,38.8987007,-76.9828033
ADW,2014,38.8967018,-77.0230026
ADW,2014,38.8897018,-76.9234009
ADW,2014,38.9031982,-76.9944
ADW,2014,38.9110985,-77.0110016
ADW,2014,38.9287987,-77.0045013
ADW,2014,38.8512001,-76.9810028
ADW,2014,38.8247986,-77.0123978
ADW,2014,38.860199,-76.9935989
ADW,2014,38.8885002,-76.9345016
ADW,2014,38.8700981,-76.9677963
ADW,2014,38.8786011,-77.0226974
ADW,2014,38.8652992,-76.9505997
ADW,2014,38.9196014,-76.9994965
ADW,2014,38.9630013,-77.0198975
ADW,2014,38.8841019,-76.9761963
ADW,2014,38.8841019,-76.9761963
ADW,2014,38.8620987,-76.9857025
ADW,2014,38.8983994,-76.9736023
ADW,2014,38.9132996,-77.0218964
ADW,2014,38.9220009,-76.9871979
ADW,2014,38.8244019,-77.009697
ADW,2014,38.8857002,-76.9458008
ADW,2014,38.9173012,-76.9750977
ADW,2014,38.9033012,-76.9729996
ADW,2014,38.8396988,-76.998497
ADW,2014,38.9387016,-77.0311966
ADW,2014,38.8728981,-76.9760971
ADW,2014,38.8456993,-77.0046997
ADW,2014,38.8348999,-76.9942017
ADW,2014,38.8725014,-77.009903
ADW,2014,38.889801,-76.9413986
ADW,2014,38.8730011,-77.0121994
ADW,2014,38.8572998,-76.9744034
ADW,2014,38.9341011,-76.9731979
ADW,2014,38.8613014,-76.9690018
ADW,2014,38.8918991,-76.9178009
ADW,2014,38.9207001,-77.0740967
ADW,2014,38.9235001,-76.9914017
ADW,2014,38.8989983,-76.9769974
ADW,2014,38.8445015,-76.9764023
ADW,2014,38.9174995,-77.0319977
ADW,2014,38.8827019,-76.9339981
ADW,2014,38.8730011,-76.9348984
ADW,2014,38.9039993,-76.947197
ADW,2014,38.8689003,-76.9798965
ADW,2014,38.8730011,-76.9716034
ADW,2014,38.8316002,-77.0058975
ADW,2014,38.9216003,-77.0270004
ADW,2014,38.9292984,-77.0179977
ADW,2014,38.8269997,-77.0106964
ADW,2014,38.9556999,-77.0270996
ADW,2014,38.8507004,-76.995903
ADW,2014,38.9244995,-77.0225983
ADW,2014,38.9030991,-77.0334015
ADW,2014,38.8594017,-76.9999008
ADW,2014,38.9342003,-76.9865036
ADW,2014,38.8456993,-77.0046997
ADW,2014,38.9502983,-76.9937973
ADW,2014,38.8945999,-76.9291992
ADW,2014,38.8532982,-76.9832993
ADW,2014,38.9147987,-77.0218964
ADW,2014,38.8623009,-76.9932022
ADW,2014,38.828701,-77.0020981
ADW,2014,38.9192009,-77.0141983
ADW,2014,38.9320984,-77.0225983
ADW,2014,38.8669014,-76.9774017
ADW,2014,38.9892998,-77.0463028
ADW,2014,38.857399,-76.9957962
ADW,2014,38.9383011,-77.0326996
ADW,2014,38.8890991,-76.9373016
ADW,2014,38.8945999,-76.9291992
ADW,2014,38.9277,-76.9695969
ADW,2014,38.8713989,-77.0074005
ADW,2014,38.8582001,-76.9870987
ADW,2014,38.9063988,-77.0074005
ADW,2014,38.9124985,-76.9856033
ADW,2014,38.9019012,-77.0319977
ADW,2014,38.8721008,-76.9673004
ADW,2014,38.9556999,-77.0270996
ADW,2014,38.895401,-77.0161972
ADW,2014,38.9319,-77.0194016
ADW,2014,38.8852005,-76.9602966
ADW,2014,38.918499,-77.0161972
ADW,2014,38.9012985,-77.0327988
ADW,2014,38.9017982,-76.9486008
ADW,2014,38.8681984,-76.9459991
ADW,2014,38.9305992,-76.9897003
ADW,2014,38.8544006,-76.967598
ADW,2014,38.9037018,-77.0161972
ADW,2014,38.928299,-77.0261993
ADW,2014,38.8524017,-76.9822998
ADW,2014,38.9255981,-77.001503
ADW,2014,38.9067001,-76.9357986
ADW,2014,38.8967018,-76.9814987
ADW,2014,38.9542999,-77.0210037
ADW,2014,38.9079018,-77.0218964
ADW,2014,38.9287987,-77.0045013
ADW,2014,38.8813019,-77.0194016
ADW,2014,38.8437996,-77.0019989
ADW,2014,38.911499,-77.018898
ADW,2014,38.8987999,-76.9327011
ADW,2014,38.8438988,-76.9788971
ADW,2014,38.8336983,-77.0047989
ADW,2014,38.9001999,-76.9768982
ADW,2014,38.8802986,-76.9901962
ADW,2014,38.8977013,-77.0137024
ADW,2014,38.8278008,-76.998497
ADW,2014,38.889801,-76.9133987
ADW,2014,38.9286003,-77.0311966
ADW,2014,38.9556999,-77.0257034
ADW,2014,38.8893013,-76.9525986
ADW,2014,38.9025002,-77.0441971
ADW,2014,38.9169998,-77.0332031
ADW,2014,38.9201012,-76.990303
ADW,2014,38.9188995,-76.9710999
ADW,2014,38.9129982,-76.9848022
ADW,2014,38.8442001,-76.9910965
ADW,2014,38.8512001,-76.9810028
ADW,2014,38.9151001,-76.9866028
ADW,2014,38.8562012,-76.9837036
ADW,2014,38.9367981,-76.9654007
ADW,2014,38.8800011,-76.9453964
ADW,2014,38.9445,-77.0261993
ADW,2014,38.8972015,-77.0084
ADW,2014,38.9034996,-76.9229965
ADW,2014,38.9247017,-77.0397034
ADW,2014,38.8932991,-76.9469986
ADW,2014,38.8987999,-76.9274979
ADW,2014,38.8846016,-76.9250031
ADW,2014,38.8437004,-77.0011978
ADW,2014,38.8490982,-76.9786987
ADW,2014,38.8916016,-76.9529037
ADW,2014,38.9528999,-77.0266037
ADW,2014,38.8958015,-76.9212036
ADW,2014,38.9012985,-76.9751968
ADW,2014,38.844799,-76.9784012
ADW,2014,38.9132004,-77.0146027
ADW,2014,38.8446999,-76.973999
ADW,2014,38.955101,-77.028801
ADW,2014,38.9341011,-77.072403
ADW,2014,38.9247017,-77.0397034
ADW,2014,38.8939018,-76.9231033
ADW,2014,38.8749008,-76.9679031
ADW,2014,38.9085007,-76.9372025
ADW,2014,38.8400993,-76.9994965
ADW,2014,38.9109001,-76.9852982
ADW,2014,38.9025002,-77.0250015
ADW,2014,38.9079018,-76.9317017
ADW,2014,38.9435005,-77.0246964
ADW,2014,38.8707008,-77.0113983
ADW,2014,38.9071007,-76.9854965
ADW,2014,38.9719009,-77.0270996
ADW,2014,38.8857994,-76.9344025
ADW,2014,38.8459015,-76.9791031
ADW,2014,38.8456993,-76.9728012
ADW,2014,38.8916016,-76.9529037
ADW,2014,38.9313011,-77.0385971
ADW,2014,38.8582001,-76.9961014
ADW,2014,38.8778992,-77.0133972
ADW,2014,38.8913002,-76.9520035
ADW,2014,38.9079018,-77.018898
ADW,2014,38.9039001,-76.9423981
ADW,2014,38.862999,-76.9938965
ADW,2014,38.857399,-76.9957962
ADW,2014,38.9547005,-77.0240021
ADW,2014,38.9056015,-77.0627975
ADW,2014,38.8622017,-76.9807968
ADW,2014,38.8773003,-76.9950027
ADW,2014,38.9030991,-77.044899
ADW,2014,38.9443016,-77.0164032
ADW,2014,38.9061012,-76.9772034
ADW,2014,38.9305992,-77.0337982
ADW,2014,38.9063988,-76.9529037
ADW,2014,38.8700981,-76.9798965
ADW,2014,38.9126015,-77.0470963
ADW,2014,38.8368988,-76.981102
ADW,2014,38.9193993,-77.014801
ADW,2014,38.9147987,-76.9721985
ADW,2014,38.8970985,-76.947197
ADW,2014,38.8801994,-76.9377975
ADW,2014,38.8841019,-76.9761963
ADW,2014,38.8851013,-76.9527969
ADW,2014,38.9085999,-77.018898
ADW,2014,38.9145012,-77.036499
ADW,2014,38.8751984,-76.9642029
ADW,2014,38.9569016,-77.0156021
ADW,2014,38.9626999,-77.0124969
ADW,2014,38.8933983,-76.9101028
ADW,2014,38.905201,-77.0091019
ADW,2014,38.9418983,-77.0242004
ADW,2014,38.8625984,-76.9817963
ADW,2014,38.9007988,-76.9271011
ADW,2014,38.9334984,-76.9812012
ADW,2014,38.8885002,-76.9288025
ADW,2014,38.9067001,-76.9357986
ADW,2014,38.8666992,-76.9848022
ADW,2014,38.9001999,-76.9893036
ADW,2014,38.9264984,-77.0243988
ADW,2014,38.9126015,-77.0384979
ADW,2014,38.9037018,-77.0627975
ADW,2014,38.8977013,-77.0137024
ADW,2014,38.8616982,-76.9814987
ADW,2014,38.9164009,-77.0465012
ADW,2014,38.8404999,-76.9853973
ADW,2014,38.9132996,-77.0456009
ADW,2014,38.9342003,-77.0808029
ADW,2014,38.9347,-77.0326996
ADW,2014,38.9044991,-77.0326004
ADW,2014,38.9267006,-77.0310974
ADW,2014,38.9516983,-77.0090027
ADW,2014,38.9071999,-77.0223999
ADW,2014,38.9174995,-77.0319977
ADW,2014,38.8857994,-76.9293976
ADW,2014,38.9668007,-77.0348969
ADW,2014,38.901001,-76.9477997
ADW,2014,38.956501,-77.018898
ADW,2014,38.9034996,-76.9229965
ADW,2014,38.9547005,-77.0240021
ADW,2014,38.8666992,-76.9848022
ADW,2014,38.8964996,-76.9150009
ADW,2014,38.9076004,-77.0090027
ADW,2014,38.8764992,-77.0089035
ADW,2014,38.9109001,-76.9852982
ADW,2014,38.8875999,-76.9581985
ADW,2014,38.9056015,-76.9766998
ADW,2014,38.9216003,-77.0270004
ADW,2014,38.9548988,-77.0177002
ADW,2014,38.9034996,-76.9291
ADW,2014,38.8372993,-76.990799
ADW,2014,38.8599014,-76.9989014
ADW,2014,38.8855019,-76.9544983
ADW,2014,38.9199982,-76.9729996
ADW,2014,38.9030991,-77.0384979
ADW,2014,38.9216995,-76.9841995
ADW,2014,38.8749008,-76.9655991
ADW,2014,38.8216019,-77.0111008
ADW,2014,38.9039001,-76.9243011
ADW,2014,38.843399,-76.9843979
ADW,2014,38.9076996,-76.9849014
ADW,2014,38.9025002,-77.0307999
ADW,2014,38.8307991,-77.0076981
ADW,2014,38.8987999,-76.9274979
ADW,2014,38.8851013,-76.9294968
ADW,2014,38.8479004,-77.0009995
ADW,2014,38.8592987,-76.9918976
ADW,2014,38.9053001,-76.9789963
ADW,2014,38.8810005,-76.9393005
ADW,2014,38.9273987,-77.0341034
ADW,2014,38.8903008,-76.9473038
ADW,2014,38.8480988,-76.9760971
ADW,2014,38.8785019,-76.9290009
ADW,2014,38.9113998,-77.0245972
ADW,2014,38.9336014,-77.0343018
ADW,2014,38.9063988,-76.9529037
ADW,2014,38.8451996,-76.9792023
ADW,2014,38.8597984,-76.9856033
ADW,2014,38.8594017,-76.9707031
ADW,2014,38.9630013,-77.0224991
ADW,2014,38.8960991,-77.0234985
ADW,2014,38.9071999,-77.0046997
ADW,2014,38.9029007,-77.0218964
ADW,2014,38.8875008,-76.9341965
ADW,2014,38.8595009,-76.9968033
ADW,2014,38.8325996,-77.0090027
ADW,2014,38.9019012,-76.9425964
ADW,2014,38.882,-76.9266968
ADW,2014,38.9131012,-77.0140991
ADW,2014,38.8955002,-77.0230026
ADW,2014,38.9236984,-76.9664993
ADW,2014,38.8908005,-76.9244995
ADW,2014,38.8997993,-77.0208969
ADW,2014,38.843399,-76.978302
ADW,2014,38.9450989,-77.0781021
ADW,2014,38.9216003,-76.9937973
ADW,2014,38.8792992,-76.9893036
ADW,2014,38.8913002,-76.9280014
ADW,2014,38.9213982,-77.0318985
ADW,2014,38.9115982,-76.935997
ADW,2014,38.9468994,-77.0173035
ADW,2014,38.8438988,-76.9788971
ADW,2014,38.9025002,-77.0500031
ADW,2014,38.928299,-77.0261993
ADW,2014,38.9710999,-77.0285034
ADW,2014,38.9115982,-76.935997
ADW,2014,38.8638992,-76.983902
ADW,2014,38.9244003,-76.9860001
ADW,2014,38.8725014,-76.968399
ADW,2014,38.9216003,-77.0270004
ADW,2014,38.8437004,-76.9869003
ADW,2014,38.8594017,-76.9999008
ADW,2014,38.919899,-77.0000992
ADW,2014,38.9450989,-77.0262985
ADW,2014,38.8512001,-76.9810028
ADW,2014,38.8404007,-76.9904022
ADW,2014,38.9059982,-77.064003
ADW,2014,38.9165993,-77.0090027
ADW,2014,38.9061012,-76.9805984
ADW,2014,38.8944016,-76.9363022
ADW,2014,38.8456993,-76.9728012
ADW,2014,38.9034996,-77.0218964
ADW,2014,38.9169998,-77.0307999
ADW,2014,38.8886986,-76.9845963
ADW,2014,38.8932991,-76.9469986
ADW,2014,38.9051018,-76.990097
