offense,year,Latitude,Longitude
Homicide,2005,38.9110985,-77.0122986
Homicide,2005,38.8588982,-76.9977036
Homicide,2005,38.8622017,-76.9927979
Homicide,2005,38.8283997,-77.0028
Homicide,2005,38.894001,-76.9252014
Homicide,2005,38.8289986,-77.0005035
Homicide,2005,38.8568993,-76.9972992
Homicide,2005,38.8544006,-76.9721985
Homicide,2005,38.8947983,-77.0231018
Homicide,2005,38.8319016,-77.0009003
Homicide,2005,38.8666992,-76.9844971
Homicide,2005,38.8653984,-76.9821014
Homicide,2005,38.8785019,-76.9311981
Homicide,2005,38.8558006,-76.9731979
Homicide,2005,38.9233017,-77.0426025
Homicide,2005,38.9202003,-77.0001984
Homicide,2005,38.9175987,-77.032402
Homicide,2005,38.8919983,-76.9123993
Homicide,2005,38.8760986,-76.9909973
Homicide,2005,38.8723984,-76.9768982
Homicide,2005,38.8833008,-76.9921036
Homicide,2005,38.8875999,-76.9807968
Homicide,2005,38.8624001,-76.9854965
Homicide,2005,38.8757019,-77.0121002
Homicide,2005,38.9500008,-76.9925995
Homicide,2005,38.8516998,-76.9876022
Homicide,2005,38.8950005,-76.9805984
Homicide,2005,38.8652992,-76.9876022
Homicide,2005,38.8624992,-76.9922028
Homicide,2005,38.9203987,-77.009697
Homicide,2005,38.8485985,-77.0018005
Homicide,2005,38.9365997,-76.9910965
Homicide,2005,38.8777008,-76.9842987
Homicide,2005,38.8566017,-76.9880981
Homicide,2005,38.8993988,-76.9732971
Homicide,2005,38.8900986,-76.9508972
Homicide,2005,38.9524002,-76.9935989
Homicide,2005,38.8292007,-77.0005035
Homicide,2005,38.8600998,-76.966301
Homicide,2005,38.8670006,-76.9436035
Homicide,2005,38.8946991,-77.027298
Homicide,2005,38.8479004,-76.9690018
Homicide,2005,38.865799,-76.975502
Homicide,2005,38.8862991,-76.9852982
Homicide,2005,38.8695984,-76.9748993
Homicide,2005,38.8507004,-76.9863968
Homicide,2005,38.8496017,-76.9717026
Homicide,2005,38.8496017,-76.9717026
Homicide,2005,38.9179993,-76.9705963
Homicide,2005,38.8833008,-76.9391022
Homicide,2005,38.847599,-76.9787979
Homicide,2005,38.847599,-76.9787979
Homicide,2005,38.8614998,-76.9835968
Homicide,2005,38.9243011,-77.030098
Homicide,2005,38.9020996,-76.9843979
Homicide,2005,38.8446007,-76.9775009
Homicide,2005,38.8785019,-76.9311981
Homicide,2005,38.8891983,-76.9376984
Homicide,2005,38.914299,-77.0112991
Homicide,2005,38.8552017,-76.9732971
Homicide,2005,38.9692001,-77.0073013
Homicide,2005,38.8555984,-76.9961014
Homicide,2005,38.8479996,-77.0028
Homicide,2005,38.9720993,-77.0268021
Homicide,2005,38.905201,-77.0103989
Homicide,2005,38.9129982,-77.0155029
Homicide,2005,38.9244995,-77.0020981
Homicide,2005,38.9296989,-77.0369034
Homicide,2005,38.8927002,-76.9293976
Homicide,2005,38.9118996,-76.9396973
Homicide,2005,38.9179001,-77.0074997
Homicide,2005,38.9266014,-77.0264969
Homicide,2005,38.9266014,-77.0264969
Homicide,2005,38.9224014,-76.9863968
Homicide,2005,38.9021988,-77.0185013
Homicide,2005,38.9061012,-76.9297028
Homicide,2005,38.9297981,-76.9740982
Homicide,2005,38.907299,-76.9347
Homicide,2005,38.8997002,-76.9887009
Homicide,2005,38.9065018,-77.0077972
Homicide,2005,38.8765984,-76.9667969
Homicide,2005,38.8594017,-76.9857025
Homicide,2005,38.8639984,-76.9877014
Homicide,2005,38.8726997,-76.9721985
Homicide,2005,38.9141998,-77.023201
Homicide,2005,38.9196014,-76.9748993
Homicide,2005,38.8484001,-76.9782028
Homicide,2005,38.8967018,-76.9776001
Homicide,2005,38.8455009,-76.9947968
Homicide,2005,38.9081993,-76.9856033
Homicide,2005,38.8718987,-76.9770966
Homicide,2005,38.8456993,-76.9725037
Homicide,2005,38.8270988,-77.0127029
Homicide,2005,38.9056015,-76.9492035
Homicide,2005,38.9436989,-76.9910965
Homicide,2005,38.8487015,-77.0022964
Homicide,2005,38.8429985,-76.9944992
Homicide,2005,38.8991013,-76.9825974
Homicide,2005,38.9249001,-77.0351028
Homicide,2005,38.9042015,-76.9981995
Homicide,2005,38.9155998,-77.0281982
Homicide,2005,38.8960991,-76.982399
Homicide,2005,38.9562988,-77.0182037
Homicide,2005,38.9277,-76.9736023
Homicide,2005,38.8877983,-76.9549026
Homicide,2005,38.9051018,-76.9801025
Homicide,2005,38.914299,-77.0083008
Homicide,2005,38.9392014,-77.036499
Homicide,2005,38.8278999,-77.0076981
Homicide,2005,38.9581985,-76.9981995
Homicide,2005,38.9264984,-76.9962006
Homicide,2005,38.8684006,-76.9843979
Homicide,2005,38.9389992,-76.9949036
Homicide,2005,38.8550987,-76.9700012
Homicide,2005,38.8516006,-76.9887009
Homicide,2005,38.9079018,-77.021698
Homicide,2005,38.9171982,-76.9770966
Homicide,2005,38.8686981,-76.9810028
Homicide,2005,38.9087982,-77.0119019
Homicide,2005,38.9602013,-76.9969025
Homicide,2005,38.8232994,-77.0011978
Homicide,2005,38.9033012,-76.9503021
Homicide,2005,38.8540993,-76.9651031
Homicide,2005,38.9511986,-77.0080032
Homicide,2005,38.9157982,-77.0320969
Homicide,2005,38.9118996,-76.936203
Homicide,2005,38.8694992,-76.9788971
Homicide,2005,38.9033012,-76.9503021
Homicide,2005,38.9063988,-77.0419998
Homicide,2005,38.8955994,-76.9203033
Homicide,2005,38.8736,-76.9697037
Homicide,2005,38.9136009,-77.0078964
Homicide,2005,38.9021988,-77.0398026
Homicide,2005,38.8597984,-76.9999008
Homicide,2005,38.9291,-77.0404968
Homicide,2005,38.8338013,-76.9898987
Homicide,2005,38.9016991,-76.9759979
Homicide,2005,38.8390999,-76.9978027
Homicide,2005,38.9026985,-76.9810028
Homicide,2005,38.918499,-77.0175018
Homicide,2005,38.9375992,-77.0297012
Homicide,2005,38.912899,-76.9860992
Homicide,2005,38.8358994,-76.9943008
Homicide,2005,38.901001,-77.0302963
Homicide,2005,38.8452988,-76.9725037
Homicide,2005,38.8278999,-76.9968033
Homicide,2005,38.8725014,-77.0124969
Homicide,2005,38.9117012,-77.006897
Homicide,2005,38.846199,-76.9788971
Homicide,2005,38.9383011,-76.9935989
Homicide,2005,38.8959007,-76.9812012
Homicide,2005,38.8950005,-76.9296036
Homicide,2005,38.9291992,-77.0223999
Homicide,2005,38.846199,-76.9788971
Homicide,2005,38.9132004,-77.0220032
Homicide,2005,38.8469009,-76.9803009
Homicide,2005,38.8469009,-76.9803009
Homicide,2005,38.9061012,-76.9765015
Homicide,2005,38.9215012,-77.009697
Homicide,2005,38.8496017,-76.9729996
Homicide,2005,38.9346008,-77.0332031
Homicide,2005,38.9157982,-77.0231018
Homicide,2005,38.9439011,-76.9980011
Homicide,2005,38.9286003,-77.0347977
Homicide,2005,38.8955994,-76.9815979
Homicide,2005,38.8511009,-76.9798965
Homicide,2005,38.8897018,-76.9253998
Homicide,2005,38.9119987,-77.042099
Homicide,2005,38.8241997,-77.0086975
Homicide,2005,38.9602013,-77.0225983
Homicide,2005,38.854599,-76.9703979
Homicide,2005,38.8479996,-76.9709015
Homicide,2005,38.8479996,-76.9709015
Homicide,2005,38.837101,-76.990303
Homicide,2005,38.8767014,-76.9338989
Homicide,2005,38.8973007,-77.0296021
Homicide,2005,38.9407997,-76.998703
Homicide,2005,38.8917007,-76.9365997
Homicide,2005,38.9216995,-77.0318985
Homicide,2005,38.8466988,-76.9757996
Homicide,2005,38.8596001,-76.9988022
Homicide,2005,38.8614998,-76.9842987
Homicide,2005,38.9068985,-76.9786987
Homicide,2005,38.8224983,-77.0102997
Homicide,2005,38.9034996,-77.039299
Homicide,2005,38.9273987,-77.0305023
Homicide,2005,38.9273987,-77.0305023
Homicide,2005,38.8862991,-76.9309998
Homicide,2005,38.921299,-76.9809036
Homicide,2005,38.8823013,-76.9335022
Homicide,2005,38.9053001,-76.979599
Homicide,2005,38.9325981,-76.9732971
Homicide,2005,38.8419991,-76.9875031
